Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","CAPC2012X140N",149.033840,-75.753538,0.000000,top
"C2","10uF","CAPC1608X90N",102.169800,-106.024975,-90.000000,top
"C3","10uF","CAPC1608X90N",114.969711,-99.074975,-90.000000,top
"C4","1uF","CAPC2012X140N",109.410000,-126.930000,90.000000,top
"C5","1uF","CAPC2012X140N",118.126008,-139.776008,0.000000,top
"C6","3.3nF","C0603",153.078916,-132.848529,0.000000,top
"D1","D_Schottky","SOT323_INFINEON",146.033840,-82.753538,180.000000,top
"D2","1N4001","SOD-123F_L2.8-W1.8-LS3.7-RD",106.719711,-99.799975,0.000000,top
"D3","D_Zener","LL-34_L3.5-W1.5-RD",186.767975,-61.468000,180.000000,top
"D4","D_Schottky","SOT323_INFINEON",97.819800,-103.799975,180.000000,top
"D6","LED","LED0603-RD",161.729929,-93.502967,-90.000000,top
"D7","LED","LED0603-RD",159.729929,-93.502967,-90.000000,top
"D8","LED","LED0603-RD",157.519071,-93.502967,-90.000000,top
"IC1","CP2102-GMR","WQFN-28_L5.0-W5.0-P0.50-BL-EP3.2",119.250000,-79.250000,-90.000000,top
"J1","Conn_01x24_Pin","PinSocket_1x24_P2.54mm_Vertical",184.586500,-102.703500,-90.000000,top
"J2","Conn_01x24_Pin","PinSocket_1x24_P2.54mm_Vertical",125.306500,-126.703500,90.000000,top
"MicroXNJ1","~","MICRO-USB-SMD_MICROXNJ",94.000000,-81.174943,-90.000000,top
"Q1","PMOS","SOT-23-3_L3.0-W1.6-P1.90-LS2.8-BR",182.372025,-69.207154,-90.000000,top
"R1","0","RESC1005X40N",144.483840,-85.753538,180.000000,top
"R2","150","R0603",148.033840,-85.506904,-90.000000,top
"R3","1.5k","R0402",152.033840,-85.186355,90.000000,top
"R4","0","RESC1005X40N",155.000000,-82.303538,-90.000000,top
"R5","0","RESC1005X40N",93.200000,-103.799975,0.000000,top
"R6","2.2k","RESC1005X40N",99.169800,-107.349975,-90.000000,top
"R7","0","RESC1005X40N",115.500000,-107.750000,0.000000,top
"R8","3M","R0603",183.388000,-50.029366,-90.000000,top
"R9","2.0M","R0603",178.308000,-50.292000,-90.000000,top
"R10","3M","R0603",180.848000,-50.029366,90.000000,top
"R11","150k","R0603",183.896000,-65.024000,-90.000000,top
"R12","1M","R1206",177.800000,-67.010791,90.000000,top
"R13","10M","R0805",181.864000,-61.976000,-90.000000,top
"R14","0","RESC1005X40N",178.266000,-71.120000,0.000000,top
"R15","0","RESC1005X40N",175.768000,-54.398000,90.000000,top
"R16","0","RESC1005X40N",96.800000,-131.470000,180.000000,top
"R17","0","RESC1005X40N",95.250000,-117.020000,90.000000,top
"R18","1k","R0402",104.682817,-125.470000,180.000000,top
"R19","1k","R0402",93.682817,-125.290000,180.000000,top
"R20","1k","R0402",111.989191,-135.204008,0.000000,top
"R21","1k","R0402",111.914008,-130.632008,0.000000,top
"R22","100k","R1206",159.726500,-81.703500,0.000000,top
"R23","100k","R1206",156.726500,-75.703500,-90.000000,top
"R24","0","RESC1005X40N",166.176500,-74.703500,0.000000,top
"R25","1k","R0402",162.000000,-96.432817,-90.000000,top
"R26","0","RESC1005X40N",113.028000,-80.422254,0.000000,top
"R27","1k","R0402",160.000000,-96.432817,-90.000000,top
"R28","0","RESC1005X40N",113.028000,-78.422254,0.000000,top
"R29","1k","R0402",157.000000,-97.432817,-90.000000,top
"R32","0","RESC1005X40N",152.528916,-129.068504,180.000000,top
"R33","0","RESC1005X40N",148.528916,-133.068504,0.000000,top
"R34","0","RESC1005X40N",141.538916,-139.768504,0.000000,top
"R40","Value: Value: Value: Value: Value: Value:  510k","R0402",182.372000,-52.324000,180.000000,top
"REF1","AMS1117-3_3_C369933","SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR",108.334900,-107.799975,180.000000,top
"REF2","AMS1117-3_3_C369933","SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR",178.429801,-80.982214,0.000000,top
"TP4054-42-SOT25R1","~","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL",148.880170,-79.753538,90.000000,top
"U1","C7433","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",184.404000,-56.896000,90.000000,top
"U3","LTR-303ALS-01","SOT-363_L2.0-W1.3-P0.65-LS2.1-BL",92.600013,-129.480008,180.000000,top
"U5","LTR-303ALS-01","SOT-363_L2.0-W1.3-P0.65-LS2.1-BL",118.010008,-134.188008,90.000000,top
"U6","C6482","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",151.498916,-137.608504,90.000000,top
"U8","~","STM32F051C6T6",156.106500,-112.303500,180.000000,top
"U9","~","18650_Holder_SMD",136.144000,-59.944000,0.000000,top
